School_Name,Attainment_Score,Town,Postcode,Partial_Postcode,County,Year,District
North Star 240°,7.9,Bristol,BS11 0QA,BS11,Bristol,2022-2023,NA
Notton House Academy,3.1,Chippenham,SN15 2NF,SN15,Bristol,2022-2023,NA
Oasis Academy Brightstowe,37.4,Bristol,BS11 0EB,BS11,Bristol,2022-2023,NA
Oasis Academy Brislington,43.3,Bristol,BS4 5EY,BS4 ,Bristol,2022-2023,NA
Oasis Academy John Williams,39.7,Bristol,BS14 9BU,BS14,Bristol,2022-2023,NA
Orchard School Bristol,39.8,Bristol,BS7 0XZ,BS7 ,Bristol,2022-2023,NA
Queen Elizabeth's Hospital,35.7,Bristol,BS8 1JX,BS8 ,Bristol,2022-2023,NA
Redland Green School,60.6,Bristol,BS6 7EH,BS6 ,Bristol,2022-2023,NA
Redmaids' High School,30.9,Bristol,BS9 3AW,BS9 ,Bristol,2022-2023,NA
St Bede's Catholic College,57.8,Bristol,BS11 0SU,BS11,Bristol,2022-2023,NA
St Bernadette Catholic Secondary School,45,Bristol,BS14 9LS,BS14,Bristol,2022-2023,NA
St Mary Redcliffe and Temple School,54.4,Bristol,BS1 6RT,BS1 ,Bristol,2022-2023,NA
Ashton Park School,47.1,Bristol,BS3 2JL,BS3 ,Bristol,2022-2023,NA
Badminton School,42.1,Bristol,BS9 3BA,BS9 ,Bristol,2022-2023,NA
Bedminster Down School,39.4,Bristol,BS13 7DQ,BS13,Bristol,2022-2023,NA
Belgrave School,29.3,Bristol,BS13 8RA,BS13,Bristol,2022-2023,NA
Blaise High School,41.1,Bristol,BS10 7QH,BS10,Bristol,2022-2023,NA
Bridge Learning Campus,37.7,Bristol,BS13 0RL,BS13,Bristol,2022-2023,NA
Bristol Brunel Academy,46.8,Bristol,BS15 1NU,BS15,Bristol,2022-2023,NA
Bristol Cathedral Choir School,54.7,Bristol,BS1 5TS,BS1 ,Bristol,2022-2023,NA
Bristol Free School,57.6,Bristol,BS10 6NJ,BS10,Bristol,2022-2023,NA
Bristol Grammar School,12.2,Bristol,BS8 1SR,BS8 ,Bristol,2022-2023,NA
Bristol Metropolitan Academy,45.3,Bristol,BS16 2HD,BS16,Bristol,2022-2023,NA
The City Academy Bristol,35.9,Bristol,BS5 9JH,BS5 ,Bristol,2022-2023,NA
Cotham School,47.1,Bristol,BS6 6DT,BS6 ,Bristol,2022-2023,NA
Elmfield School for Deaf Children,2.3,Bristol,BS7 0PU,BS7 ,Bristol,2022-2023,NA
Fairfield High School,45.4,Bristol,BS7 9NL,BS7 ,Bristol,2022-2023,NA
Kingsweston School,13.7,Bristol,BS11 0UT,BS11,Bristol,2022-2023,NA
Knowle DGE Academy,2.6,Bristol,BS4 1NN,BS4 ,Bristol,2022-2023,NA
LPW Independent School,0.9,Bristol,BS3 4AG,BS3 ,Bristol,2022-2023,NA
Merchants' Academy,29.2,Bristol,BS13 9AJ,BS13,Bristol,2022-2023,NA
Montpelier High School,57.3,Bristol,BS6 5RD,BS6 ,Bristol,2022-2023,NA
North Star 240°,7.8,Bristol,BS11 0QA,BS11,Bristol,2022-2023,NA
Notton House Academy,2.9,Chippenham,SN15 2NF,SN15,Bristol,2022-2023,NA
Oasis Academy Brightstowe,37.3,Bristol,BS11 0EB,BS11,Bristol,2022-2023,NA
Oasis Academy Brislington,43.3,Bristol,BS4 5EY,BS4 ,Bristol,2022-2023,NA
Oasis Academy John Williams,39.6,Bristol,BS14 9BU,BS14,Bristol,2022-2023,NA
Orchard School Bristol,39.6,Bristol,BS7 0XZ,BS7 ,Bristol,2022-2023,NA
Queen Elizabeth's Hospital,35.7,Bristol,BS8 1JX,BS8 ,Bristol,2022-2023,NA
Redland Green School,60.5,Bristol,BS6 7EH,BS6 ,Bristol,2022-2023,NA
Redmaids' High School,30.6,Bristol,BS9 3AW,BS9 ,Bristol,2022-2023,NA
St Bede's Catholic College,57.7,Bristol,BS11 0SU,BS11,Bristol,2022-2023,NA
St Bernadette Catholic Secondary School,45,Bristol,BS14 9LS,BS14,Bristol,2022-2023,NA
St Mary Redcliffe and Temple School,54.4,Bristol,BS1 6RT,BS1 ,Bristol,2022-2023,NA
