LSOA_Code,Postcode,Partial_Postcode,Town,District,County
E01018986,TR26 2NU,TR26,ST IVES,CORNWALL,CORNWALL
E01018826,TR4 8HH,TR4 8,TRURO,CORNWALL,CORNWALL
E01014595,BS13 8PG,BS13,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014551,BS8 2EJ,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033362,BS3 3NQ,BS3 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014560,BS6 6JA,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014699,BS3 1RS,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014671,BS6 5AR,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033362,BS3 1BH,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014701,BS3 1AT,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01019005,TR19 6AX,TR19,PENZANCE,CORNWALL,CORNWALL
E01018817,TR3 6QY,TR3 6,TRURO,CORNWALL,CORNWALL
E01018819,TR4 9FB,TR4 9,TRURO,CORNWALL,CORNWALL
E01019060,TR8 4QY,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01019049,TR8 4GZ,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01019049,TR8 4GZ,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01019063,TR9 6GX,TR9 6,ST COLUMB,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01018762,PL13 2QZ,PL13,LOOE,CORNWALL,CORNWALL
E01014718,BS10 7FG,BS10,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014698,BS3 1HF,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018821,TR4 9EY,TR4 9,TRURO,CORNWALL,CORNWALL
E01014555,BS8 1AB,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014509,BS7 9FG,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014573,BS5 6RQ,BS5 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014573,BS5 6RQ,BS5 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014573,BS5 6RQ,BS5 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9NX,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9NX,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9NX,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019063,TR8 5BQ,TR8 5,NEWQUAY,CORNWALL,CORNWALL
E01019017,PL25 3FX,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01033359,BS3 4AL,BS3 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014554,BS8 1RT,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014512,BS7 8NR,BS7 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9NX,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9LL,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9LL,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014561,BS6 6BJ,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9LL,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS2 9NX,BS2 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014561,BS6 6BJ,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014561,BS6 6BJ,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014561,BS6 6BJ,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014489,BS6 5EH,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019076,PL26 8JW,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01014671,BS6 5AS,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014487,BS6 5HA,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014547,BS8 4JW,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014553,BS8 2JY,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014619,BS9 3AY,BS9 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014563,BS6 6AF,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014561,BS6 6AY,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014552,BS8 3EW,BS8 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014547,BS8 4BQ,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014547,BS8 4JW,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014499,BS11 9DB,BS11,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014560,BS6 6JG,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014563,BS6 5TB,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019011,TR26 2QS,TR26,ST IVES,CORNWALL,CORNWALL
E01018818,TR3 6JH,TR3 6,TRURO,CORNWALL,CORNWALL
E01019070,PL26 7XD,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018996,TR18 3DW,TR18,PENZANCE,CORNWALL,CORNWALL
E01014487,BS6 5DR,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019063,TR9 6LX,TR9 6,ST COLUMB,CORNWALL,CORNWALL
E01018849,TR2 5BS,TR2 5,TRURO,CORNWALL,CORNWALL
E01018766,PL23 1PL,PL23,FOWEY,CORNWALL,CORNWALL
E01018817,TR3 6LD,TR3 6,TRURO,CORNWALL,CORNWALL
E01019031,TR8 5RR,TR8 5,NEWQUAY,CORNWALL,CORNWALL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01014553,BS8 2EY,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019039,PL26 6NG,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018863,TR14 0FB,TR14,CAMBORNE,CORNWALL,CORNWALL
E01018862,TR20 9TP,TR20,PENZANCE,CORNWALL,CORNWALL
E01019004,TR18 5AF,TR18,PENZANCE,CORNWALL,CORNWALL
E01019011,TR26 2QS,TR26,ST IVES,CORNWALL,CORNWALL
E01019038,PL26 6QQ,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01019011,TR26 2PT,TR26,ST IVES,CORNWALL,CORNWALL
E01014487,BS6 5AN,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014555,BS8 1AW,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014683,BS5 7HT,BS5 7,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018892,TR16 4PE,TR16,REDRUTH,CORNWALL,CORNWALL
E01014699,BS3 1FE,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014510,BS7 8UA,BS7 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018847,TR2 4EE,TR2 4,TRURO,CORNWALL,CORNWALL
E01018864,TR27 6FJ,TR27,HAYLE,CORNWALL,CORNWALL
E01018850,TR2 5NZ,TR2 5,TRURO,CORNWALL,CORNWALL
E01014533,BS4 3LE,BS4 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018992,TR19 7RD,TR19,PENZANCE,CORNWALL,CORNWALL
E01018761,PL13 2JZ,PL13,LOOE,CORNWALL,CORNWALL
E01019076,PL26 8PP,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018775,PL13 1HX,PL13,LOOE,CORNWALL,CORNWALL
E01014556,BS8 2JZ,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018985,TR26 2SF,TR26,ST IVES,CORNWALL,CORNWALL
E01018985,TR26 2SF,TR26,ST IVES,CORNWALL,CORNWALL
E01018896,TR16 4FH,TR16,REDRUTH,CORNWALL,CORNWALL
E01014548,BS8 4LJ,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014709,BS9 1QD,BS9 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014538,BS8 1SF,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014547,BS8 4BG,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018943,EX23 9JB,EX23,BUDE,CORNWALL,CORNWALL
E01014627,BS15 1TB,BS15,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01032516,BS10 7AE,BS10,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014733,BS3 4NR,BS3 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033352,BS2 0QF,BS2 0,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014590,BS16 2HJ,BS16,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014590,BS16 2HJ,BS16,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019007,TR27 6HA,TR27,HAYLE,CORNWALL,CORNWALL
E01019050,TR8 4LA,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01014572,BS16 2BQ,BS16,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018862,TR20 9SY,TR20,PENZANCE,CORNWALL,CORNWALL
E01014668,BS7 8BA,BS7 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014554,BS8 3AX,BS8 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014696,BS3 1JF,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033342,BS2 8HT,BS2 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018781,PL10 1PG,PL10,TORPOINT,CORNWALL,CORNWALL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01018904,TR12 7DH,TR12,HELSTON,CORNWALL,CORNWALL
E01018757,PL11 3JN,PL11,TORPOINT,CORNWALL,CORNWALL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01019075,PL25 4EJ,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019038,PL26 6RS,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01019049,TR8 4GZ,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01018965,PL15 7ED,PL15,LAUNCESTON,CORNWALL,CORNWALL
E01018993,TR19 7HX,TR19,PENZANCE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01018986,TR26 2FG,TR26,ST IVES,CORNWALL,CORNWALL
E01019039,PL26 6NG,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01014659,BS7 0EY,BS7 0,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014560,BS6 6ND,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014566,BS5 9FH,BS5 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014545,BS8 4HH,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033362,BS3 3NL,BS3 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014496,BS11 9HS,BS11,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014699,BS3 1RS,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014486,BS6 5LR,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014698,BS3 1HJ,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014509,BS7 9HZ,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014731,BS3 4UF,BS3 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019075,PL25 4EJ,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01018752,PL17 8EL,PL17,CALLINGTON,CORNWALL,CORNWALL
E01019052,PL26 8EP,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018986,TR26 2FG,TR26,ST IVES,CORNWALL,CORNWALL
E01018752,PL17 8EL,PL17,CALLINGTON,CORNWALL,CORNWALL
E01019063,TR9 6LX,TR9 6,ST COLUMB,CORNWALL,CORNWALL
E01018829,TR16 5HY,TR16,REDRUTH,CORNWALL,CORNWALL
E01018919,TR16 5SJ,TR16,REDRUTH,CORNWALL,CORNWALL
E01019017,PL25 3SG,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019017,PL25 3SG,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019017,PL25 3SG,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019017,PL25 3SG,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019017,PL25 3SG,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019017,PL25 3SG,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01018989,TR20 8YN,TR20,PENZANCE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01014547,BS8 4LN,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8AA,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018897,TR15 3SN,TR15,REDRUTH,CORNWALL,CORNWALL
E01018900,TR11 5BJ,TR11,FALMOUTH,CORNWALL,CORNWALL
E01019011,TR26 2JS,TR26,ST IVES,CORNWALL,CORNWALL
E01018986,TR26 2NR,TR26,ST IVES,CORNWALL,CORNWALL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01019049,TR8 4GZ,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01014548,BS8 4LJ,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018986,TR26 2NU,TR26,ST IVES,CORNWALL,CORNWALL
E01019039,PL26 6NG,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018864,TR27 6FJ,TR27,HAYLE,CORNWALL,CORNWALL
E01014669,BS6 7EJ,BS6 7,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014669,BS6 7EJ,BS6 7,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018892,TR16 4PE,TR16,REDRUTH,CORNWALL,CORNWALL
E01014550,BS8 4QD,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018827,TR3 7JR,TR3 7,TRURO,CORNWALL,CORNWALL
E01019052,PL26 8JQ,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01014508,BS7 9LU,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014642,BS11 0UT,BS11,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014701,BS3 1AT,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019076,PL26 8PY,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014653,BS5 0RD,BS5 0,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014588,BS16 3UA,BS16,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014533,BS4 3AT,BS4 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014487,BS6 5EA,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014551,BS8 1LP,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014508,BS7 9LT,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014559,BS6 6UX,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014551,BS8 2BG,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014671,BS6 5AJ,BS6 5,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014710,BS9 1LX,BS9 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FU,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033359,BS3 1FN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014595,BS13 8BT,BS13,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018833,TR4 9PA,TR4 9,TRURO,CORNWALL,CORNWALL
E01018822,TR3 6DY,TR3 6,TRURO,CORNWALL,CORNWALL
E01018827,TR3 7JR,TR3 7,TRURO,CORNWALL,CORNWALL
E01018994,TR18 3HL,TR18,PENZANCE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01018843,TR6 0DQ,TR6 0,PERRANPORTH,CORNWALL,CORNWALL
E01033370,BS1 6DD,BS1 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018988,TR20 8DU,TR20,PENZANCE,CORNWALL,CORNWALL
E01019055,PL26 8AD,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018817,TR3 6QY,TR3 6,TRURO,CORNWALL,CORNWALL
E01018906,TR13 9DY,TR13,HELSTON,CORNWALL,CORNWALL
E01018985,TR26 3HW,TR26,ST IVES,CORNWALL,CORNWALL
E01019007,TR27 6HG,TR27,HAYLE,CORNWALL,CORNWALL
E01032515,BS14 0BN,BS14,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014552,BS8 2DD,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014551,BS8 2BB,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014534,BS4 3JU,BS4 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033352,BS2 0JT,BS2 0,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8AF,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014731,BS3 4TY,BS3 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014534,BS4 3JU,BS4 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018943,EX23 9QY,EX23,BUDE,CORNWALL,CORNWALL
E01018993,TR19 7LS,TR19,PENZANCE,CORNWALL,CORNWALL
E01014551,BS8 1LP,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014588,BS16 3UN,BS16,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018910,TR16 4AX,TR16,REDRUTH,CORNWALL,CORNWALL
E01018982,TR27 5AF,TR27,HAYLE,CORNWALL,CORNWALL
E01014570,BS5 6BX,BS5 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01019017,PL25 3RY,PL25,ST AUSTELL,CORNWALL,CORNWALL
E01019002,TR19 6UF,TR19,PENZANCE,CORNWALL,CORNWALL
E01018897,TR15 3PB,TR15,REDRUTH,CORNWALL,CORNWALL
E01018757,PL11 3EF,PL11,TORPOINT,CORNWALL,CORNWALL
E01033359,BS3 4AP,BS3 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018894,TR16 6SN,TR16,REDRUTH,CORNWALL,CORNWALL
E01019057,PL24 2NH,PL24,PAR,CORNWALL,CORNWALL
E01019038,PL26 6RP,PL26,ST AUSTELL,CORNWALL,CORNWALL
E01018986,TR26 2PB,TR26,ST IVES,CORNWALL,CORNWALL
E01033362,BS3 1EN,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018892,TR16 4PE,TR16,REDRUTH,CORNWALL,CORNWALL
E01019011,TR26 2QR,TR26,ST IVES,CORNWALL,CORNWALL
E01018862,TR20 9SN,TR20,PENZANCE,CORNWALL,CORNWALL
E01018894,TR16 6QZ,TR16,REDRUTH,CORNWALL,CORNWALL
E01018757,PL11 3JH,PL11,TORPOINT,CORNWALL,CORNWALL
E01018900,TR11 5BJ,TR11,FALMOUTH,CORNWALL,CORNWALL
E01018897,TR15 3PB,TR15,REDRUTH,CORNWALL,CORNWALL
E01018776,PL13 2ES,PL13,LOOE,CORNWALL,CORNWALL
E01018900,TR11 5BJ,TR11,FALMOUTH,CORNWALL,CORNWALL
E01018921,TR3 7BT,TR3 7,TRURO,CORNWALL,CORNWALL
E01018867,TR14 8PF,TR14,CAMBORNE,CORNWALL,CORNWALL
E01018980,TR27 5JJ,TR27,HAYLE,CORNWALL,CORNWALL
E01019057,PL24 2NH,PL24,PAR,CORNWALL,CORNWALL
