"S_No","Price","Date of Transfer","Postcode","Town","District","County","Partial_Postcode"
1491,775000,2020,"BS6 6BJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1499,222500,2020,"BS6 5EH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
1516,66000,2020,"PL26 8JW","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
1522,218000,2020,"BS6 5AS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
1552,266000,2020,"BS6 5HA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
1581,150000,2020,"BS8 4JW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
1582,420000,2020,"BS8 2JY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
1588,412800,2020,"BS9 3AY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 3"
1595,295000,2020,"BS6 6AF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1612,285000,2020,"BS6 6AY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1622,360000,2020,"BS8 3EW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
1649,395000,2020,"BS8 4BQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
1660,197000,2020,"BS8 4JW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
1722,13475000,2020,"BS11 9DB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
1797,305000,2020,"BS6 6JG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1798,378000,2020,"BS6 5TB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
1812,207500,2020,"TR26 2QS","ST IVES","CORNWALL","CORNWALL","TR26 "
1869,247567,2020,"TR3 6JH","TRURO","CORNWALL","CORNWALL","TR3 6"
1934,170000,2020,"PL26 7XD","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
1935,58000,2020,"TR18 3DW","PENZANCE","CORNWALL","CORNWALL","TR18 "
1938,450000,2020,"BS6 5DR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
2187,245000,2020,"TR9 6LX","ST COLUMB","CORNWALL","CORNWALL","TR9 6"
2217,575000,2020,"TR2 5BS","TRURO","CORNWALL","CORNWALL","TR2 5"
2231,145000,2020,"PL23 1PL","FOWEY","CORNWALL","CORNWALL","PL23 "
2232,166500,2020,"TR3 6LD","TRURO","CORNWALL","CORNWALL","TR3 6"
2233,390000,2020,"TR8 5RR","NEWQUAY","CORNWALL","CORNWALL","TR8 5"
2234,208000,2020,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
2242,402500,2020,"BS8 2EY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
2253,280000,2020,"PL26 6NG","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
2262,123000,2020,"TR14 0FB","CAMBORNE","CORNWALL","CORNWALL","TR14 "
2277,360000,2020,"TR20 9TP","PENZANCE","CORNWALL","CORNWALL","TR20 "
2278,375000,2020,"TR18 5AF","PENZANCE","CORNWALL","CORNWALL","TR18 "
2324,290000,2020,"TR26 2QS","ST IVES","CORNWALL","CORNWALL","TR26 "
2342,450000,2020,"PL26 6QQ","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
2361,210000,2020,"TR26 2PT","ST IVES","CORNWALL","CORNWALL","TR26 "
2385,202000,2020,"BS6 5AN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
2392,341000,2020,"BS8 1AW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
2393,154000,2020,"BS5 7HT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 7"
2408,290000,2020,"TR16 4PE","REDRUTH","CORNWALL","CORNWALL","TR16 "
2430,211000,2020,"BS3 1FE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
2431,270000,2020,"BS7 8UA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 8"
2449,347500,2020,"TR2 4EE","TRURO","CORNWALL","CORNWALL","TR2 4"
2450,257000,2020,"TR27 6FJ","HAYLE","CORNWALL","CORNWALL","TR27 "
2451,81250,2020,"TR2 5NZ","TRURO","CORNWALL","CORNWALL","TR2 5"
2478,155000,2020,"BS4 3LE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS4 3"
2490,185000,2020,"TR19 7RD","PENZANCE","CORNWALL","CORNWALL","TR19 "
2491,120000,2020,"PL13 2JZ","LOOE","CORNWALL","CORNWALL","PL13 "
2492,140000,2020,"PL26 8PP","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
2493,130000,2020,"PL13 1HX","LOOE","CORNWALL","CORNWALL","PL13 "
2500,425000,2020,"BS8 2JZ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
2515,237500,2020,"BS5 9FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 9"
2530,327000,2020,"TR26 2SF","ST IVES","CORNWALL","CORNWALL","TR26 "
2531,325000,2020,"TR26 2SF","ST IVES","CORNWALL","CORNWALL","TR26 "
2535,395000,2020,"TR16 4FH","REDRUTH","CORNWALL","CORNWALL","TR16 "
2547,320000,2020,"BS8 4LJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
2553,250000,2020,"BS9 1QD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
2564,590000,2020,"BS8 1SF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
2591,710000,2020,"BS8 4BG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
2606,127000,2020,"EX23 9JB","BUDE","CORNWALL","CORNWALL","EX23 "
2635,180000,2020,"BS15 1TB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
2638,175000,2020,"BS10 7AE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS10 "
2683,234000,2020,"BS3 4NR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 4"
2684,106000,2020,"BS2 0QF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 0"
2685,196000,2020,"BS16 2HJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
2686,196000,2020,"BS16 2HJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
2803,225000,2020,"TR27 6HA","HAYLE","CORNWALL","CORNWALL","TR27 "
2822,74000,2020,"TR8 4LA","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
2849,195000,2020,"BS16 2BQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
2895,599950,2020,"TR20 9SY","PENZANCE","CORNWALL","CORNWALL","TR20 "
3029,6e+05,2020,"BS7 8BA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 8"
3030,340000,2020,"BS8 3AX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
3040,275000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3041,267000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3042,297500,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3043,424500,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3044,319500,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3045,262000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3046,266675,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3047,150000,2020,"BS3 1JF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
3111,150000,2020,"BS2 8HT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 8"
3269,535000,2020,"PL10 1PG","TORPOINT","CORNWALL","CORNWALL","PL10 "
3457,207500,2020,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
3458,230000,2020,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
3459,260000,2020,"TR12 7DH","HELSTON","CORNWALL","CORNWALL","TR12 "
3460,187000,2020,"PL11 3JN","TORPOINT","CORNWALL","CORNWALL","PL11 "
3511,160000,2020,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
3512,4e+05,2020,"PL25 4EJ","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
3513,256000,2020,"PL26 6RS","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
3514,85000,2020,"TR8 4GZ","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
3515,130000,2020,"PL15 7ED","LAUNCESTON","CORNWALL","CORNWALL","PL15 "
3516,195000,2020,"TR19 7HX","PENZANCE","CORNWALL","CORNWALL","TR19 "
3570,59000,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
3571,56000,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
3709,371000,2020,"TR26 2FG","ST IVES","CORNWALL","CORNWALL","TR26 "
3710,260001,2020,"PL26 6NG","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
4044,215000,2020,"BS7 0EY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 0"
4045,475000,2020,"BS6 6ND","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
4086,235000,2020,"BS5 9FH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 9"
4087,250000,2020,"BS5 9FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 9"
4088,462000,2020,"BS8 4HH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
4119,165000,2020,"BS3 3NL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
4120,420000,2020,"BS11 9HS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
4121,240000,2020,"BS3 1RS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
4122,175000,2020,"BS6 5LR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
4164,175000,2020,"BS3 1HJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
4171,220000,2020,"BS7 9HZ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
4172,147500,2020,"BS3 4UF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 4"
4173,545229,2020,"PL25 4EJ","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4210,225000,2020,"PL17 8EL","CALLINGTON","CORNWALL","CORNWALL","PL17 "
4221,161000,2020,"PL26 8EP","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
4222,351000,2020,"TR26 2FG","ST IVES","CORNWALL","CORNWALL","TR26 "
4247,2e+05,2020,"PL25 5FN","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4248,210000,2020,"PL17 8EL","CALLINGTON","CORNWALL","CORNWALL","PL17 "
4249,256000,2020,"TR9 6LX","ST COLUMB","CORNWALL","CORNWALL","TR9 6"
4269,168000,2020,"TR16 5HY","REDRUTH","CORNWALL","CORNWALL","TR16 "
4270,121000,2020,"TR16 5SJ","REDRUTH","CORNWALL","CORNWALL","TR16 "
4271,725000,2020,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4272,525000,2020,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4273,525000,2020,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4274,550000,2020,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4275,575000,2020,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4276,725000,2020,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
4329,66500,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
4330,72000,2020,"TR20 8YN","PENZANCE","CORNWALL","CORNWALL","TR20 "
4331,57000,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
4332,54500,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
4333,51000,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
4576,425000,2020,"BS8 4LN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
4738,128000,2020,"BS5 8AA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
4827,1e+05,2020,"TR15 3SN","REDRUTH","CORNWALL","CORNWALL","TR15 "
5039,125000,2020,"TR11 5BJ","FALMOUTH","CORNWALL","CORNWALL","TR11 "
5144,382500,2020,"TR26 2JS","ST IVES","CORNWALL","CORNWALL","TR26 "
5145,875000,2020,"TR26 2NR","ST IVES","CORNWALL","CORNWALL","TR26 "
5154,85000,2020,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
5155,105000,2020,"TR8 4GZ","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
5163,275000,2020,"BS8 4LJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
5166,187500,2020,"TR26 2NU","ST IVES","CORNWALL","CORNWALL","TR26 "
5204,3e+05,2020,"PL26 6NG","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
5253,245000,2020,"BS5 9FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 9"
5291,255000,2020,"TR27 6FJ","HAYLE","CORNWALL","CORNWALL","TR27 "
5480,110250,2020,"BS6 7EJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 7"
5481,60000,2020,"BS6 7EJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 7"
5568,70000,2020,"TR16 4PE","REDRUTH","CORNWALL","CORNWALL","TR16 "
5571,5e+05,2020,"PL23 1FF","FOWEY","CORNWALL","CORNWALL","PL23 "
5635,430000,2020,"BS8 4QD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
5648,160000,2020,"TR3 7JR","TRURO","CORNWALL","CORNWALL","TR3 7"
5699,99000,2020,"PL26 8JQ","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
5843,275000,2020,"BS7 9LU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
5912,347500,2020,"BS11 0UT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
5913,250000,2020,"BS3 1AT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
5914,405000,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
5915,405000,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
5916,412500,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
5940,240000,2020,"PL26 8PY","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
5968,405000,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
5969,245000,2020,"BS5 0RD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 0"
5975,172000,2020,"BS16 3UA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
5976,92000,2020,"BS4 3AT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS4 3"
5977,286000,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
6040,253000,2020,"BS6 5EA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
6041,254000,2020,"BS8 1LP","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
6070,299950,2020,"BS7 9LT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
6071,555000,2020,"BS6 6UX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
6072,440000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6073,450000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6074,280000,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6075,410000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6076,280000,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6077,257500,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6105,295000,2020,"BS8 2BG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
6112,315000,2020,"BS6 5AJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
6113,458250,2020,"BS9 1LX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
6142,375000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6143,381000,2020,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6144,280000,2020,"BS3 1FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
6145,280000,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
6146,70000,2020,"BS13 8BT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS13 "
6494,220000,2020,"TR4 9PA","TRURO","CORNWALL","CORNWALL","TR4 9"
6545,70000,2020,"TR3 6DY","TRURO","CORNWALL","CORNWALL","TR3 6"
6546,365000,2020,"TR3 7JR","TRURO","CORNWALL","CORNWALL","TR3 7"
6577,12000,2020,"TR18 3HL","PENZANCE","CORNWALL","CORNWALL","TR18 "
